Name,Sex,Event,Equipment,Age,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Dots,Federation
Lifter 46,M,SBD,Raw,41.0,77.3,134.9,85.5,95.4,315.8,145.4,USAPL
Lifter 47,M,SBD,Single-ply,28.0,68.9,154.9,85.2,156.6,396.7,199.1,IPF
Lifter 48,F,SBD,Single-ply,31.0,67.2,88.0,64.3,71.4,223.7,114.4,IPF
Lifter 49,M,SBD,Raw,37.0,59.3,112.7,86.5,124.4,323.6,181.7,IPF
Lifter 50,M,SBD,Raw,30.0,77.8,162.1,57.5,165.7,385.3,176.5,USAPL
Lifter 51,M,SBD,Single-ply,29.0,79.3,158.3,73.3,166.6,398.2,179.8,IPF
Lifter 52,F,SBD,Raw,27.0,90.1,76.0,74.6,111.0,261.6,107.3,WRPF
Lifter 53,F,SBD,Raw,52.0,77.7,75.2,45.2,78.9,199.3,91.4,IPF
Lifter 54,F,SBD,Raw,46.0,93.8,96.0,51.5,125.5,273.0,108.7,USPA
Lifter 55,F,SBD,Raw,37.0,70.3,74.5,50.5,60.5,185.5,91.7,USAPL
Lifter 56,M,SBD,Wraps,47.0,89.9,120.9,69.3,124.9,315.1,129.5,IPF
Lifter 57,M,SBD,Raw,48.0,75.5,90.1,68.9,148.3,307.3,144.0,WRPF
Lifter 58,M,SBD,Raw,35.0,83.1,173.8,90.1,205.6,469.5,204.7,IPF
Lifter 59,M,SBD,Raw,28.0,86.9,168.7,67.6,154.7,391.0,164.9,IPF
Lifter 60,F,SBD,Raw,41.0,77.5,91.4,56.0,123.2,270.6,124.3,USPA
Lifter 61,M,SBD,Raw,,110.2,166.3,96.2,151.3,413.8,146.0,IPF
Lifter 62,M,SBD,Raw,45.0,75.4,95.0,82.9,126.4,304.3,142.7,WRPF
Lifter 63,F,SBD,Wraps,,80.1,63.4,55.6,77.9,196.9,88.2,USAPL
Lifter 64,M,SBD,Raw,,106.2,143.2,105.7,161.9,410.8,149.0,USAPL
Lifter 65,M,SBD,Raw,66.0,89.3,69.0,58.7,95.1,222.8,92.0,IPF
Lifter 66,M,SBD,Raw,41.0,84.8,140.2,98.0,156.7,394.9,169.6,USPA
Lifter 67,M,SBD,Raw,34.0,112.1,157.5,126.6,169.2,453.3,157.9,USAPL
Lifter 68,M,SBD,Raw,46.0,104.9,180.8,,166.3,,159.9,IPF
Lifter 69,M,SBD,Raw,52.0,91.2,104.2,88.4,103.8,296.4,120.5,USPA
Lifter 70,M,SBD,Raw,39.0,73.5,109.6,,135.8,,161.5,USAPL
Lifter 71,M,SBD,Raw,48.0,60.3,85.6,80.4,88.3,254.3,141.0,USAPL
Lifter 72,F,SBD,Raw,33.0,75.4,93.3,69.4,73.6,236.3,110.8,USAPL
Lifter 73,M,SBD,Raw,48.0,104.2,139.3,103.1,169.5,411.9,151.6,IPF
Lifter 74,M,SBD,Raw,,71.0,49.0,48.3,74.0,171.3,84.0,WRPF
Lifter 75,M,SBD,Wraps,33.0,111.8,150.9,87.4,207.2,445.5,155.5,USAPL
Lifter 76,M,SBD,Raw,40.0,85.3,126.1,85.0,108.1,319.2,136.5,USPA
Lifter 77,F,SBD,Raw,44.0,44.0,49.3,23.4,58.4,131.1,92.1,USAPL
Lifter 78,M,SBD,Raw,36.0,101.8,154.1,84.0,172.1,410.2,153.6,USAPL
Lifter 79,F,SBD,Raw,,44.0,65.0,43.2,46.2,154.4,108.5,USAPL
Lifter 80,F,SBD,Wraps,38.0,58.1,98.0,42.8,85.9,226.7,129.3,USPA
Lifter 81,M,SBD,Raw,50.0,108.8,144.4,103.0,105.0,352.4,125.5,USAPL
Lifter 82,F,SBD,Raw,,90.5,84.2,76.3,101.4,261.9,107.1,WRPF
Lifter 83,M,SBD,Raw,29.0,103.7,113.4,101.2,176.3,390.9,144.3,USAPL
Lifter 84,M,SBD,Raw,36.0,83.8,113.5,101.2,168.6,383.3,166.1,IPF
Lifter 85,M,SBD,Single-ply,49.0,57.4,85.3,82.5,102.9,270.7,155.8,USPA
Lifter 86,F,SBD,Raw,38.0,66.7,70.2,,92.9,,111.5,WRPF
Lifter 87,M,SBD,Raw,32.0,93.1,146.8,105.8,164.9,417.5,167.2,IPF
Lifter 88,M,SBD,Single-ply,57.0,76.4,109.4,51.0,130.4,290.8,135.0,USPA
Lifter 89,M,SBD,Raw,40.0,81.6,162.0,93.4,152.3,407.7,180.2,USPA
Lifter 90,M,SBD,Wraps,33.0,121.9,261.7,140.0,279.1,680.8,222.7,IPF
Lifter 91,F,SBD,Raw,44.0,44.0,52.5,33.9,47.1,133.5,93.8,USAPL
Lifter 92,M,SBD,Raw,43.0,114.6,176.0,101.1,181.5,458.6,157.1,USPA
Lifter 93,M,SBD,Wraps,40.0,113.1,211.4,89.4,144.6,445.4,154.1,USAPL
Lifter 94,m,SBD,Wraps,31.0,97.2,149.6,106.7,160.1,416.4,161.4,IPF
Lifter 95,M,SBD,Raw,48.0,71.3,112.5,85.2,137.7,335.4,164.0,IPF
Lifter 96,M,SBD,Wraps,60.0,94.1,91.3,71.0,122.8,285.1,113.2,IPF
Lifter 97,M,SBD,Raw,42.0,105.1,192.7,,172.1,,177.3,IPF
Lifter 98,M,SBD,Raw,26.0,89.7,148.1,,174.2,,190.3,USPA
Lifter 99,F,SBD,Wraps,69.0,69.6,40.7,26.3,48.6,115.6,57.6,USAPL
Lifter 100,F,SBD,Raw,44.0,95.8,126.2,76.4,123.0,325.6,127.6,USAPL
Lifter 101,F,SBD,Raw,29.0,70.9,78.0,58.1,63.5,199.6,98.0,USPA
Lifter 102,M,SBD,Wraps,48.0,110.9,163.8,109.3,185.9,459.0,161.2,USPA
Lifter 103,F,SBD,Raw,52.0,89.3,86.8,51.3,107.3,245.4,101.4,WRPF
Lifter 104,F,SBD,Raw,38.0,71.1,95.6,30.6,88.1,214.3,105.0,WRPF
Lifter 105,F,SBD,Raw,24.0,69.6,74.7,47.4,81.0,203.1,101.1,USAPL
Lifter 106,M,SBD,Raw,40.0,98.5,168.2,104.1,176.9,449.2,172.4,USAPL
Lifter 107,M,SBD,Raw,28.0,86.2,171.6,100.7,162.7,435.0,184.5,USPA
Lifter 108,M,SBD,Wraps,44.0,54.8,118.6,52.9,98.8,270.3,161.0,IPF
Lifter 109,F,SBD,Raw,31.0,63.9,70.8,46.8,92.9,210.5,111.8,USAPL
Lifter 110,M,SBD,Wraps,43.0,101.9,156.5,130.0,180.1,466.6,174.6,USAPL
Lifter 111,M,SBD,Raw,34.0,86.5,129.5,116.2,242.2,487.9,206.4,USAPL
Lifter 112,M,SBD,Raw,41.0,99.7,136.1,115.0,158.0,409.1,155.6,IPF
Lifter 113,M,SBD,Multi-ply,48.0,120.2,203.9,186.7,183.7,574.3,189.8,USAPL
Lifter 114,M,SBD,Raw,48.0,66.7,112.8,86.3,129.0,328.1,168.7,USAPL
Lifter 115,F,SBD,Raw,30.0,67.9,56.7,65.1,97.1,218.9,111.1,WRPF
Lifter 116,F,SBD,Single-ply,35.0,74.0,99.5,69.7,100.1,269.3,128.1,WRPF
Lifter 117,F,SBD,Single-ply,,76.2,101.4,78.0,113.0,292.4,136.0,USAPL
Lifter 118,M,SBD,Raw,40.0,86.6,159.9,102.6,159.9,422.4,178.6,USAPL
Lifter 119,M,SBD,Raw,53.0,119.4,132.8,119.1,208.9,460.8,153.1,IPF
Lifter 120,M,SBD,Raw,36.0,76.5,91.5,70.5,150.9,312.9,145.2,WRPF
Lifter 121,M,SBD,Raw,43.0,89.2,180.4,107.4,161.9,449.7,185.9,IPF
Lifter 122,M,SBD,Raw,36.0,62.5,109.0,87.1,143.7,339.8,183.4,USAPL
Lifter 123,M,SBD,Raw,,102.4,81.8,113.9,180.2,375.9,140.1,IPF
Lifter 124,M,SBD,Raw,25.0,74.9,141.4,119.5,169.9,430.8,203.0,USAPL
Lifter 125,M,SBD,Raw,33.0,82.9,163.6,110.8,153.0,427.4,186.7,IPF
Lifter 126,M,SBD,Raw,27.0,110.0,147.1,117.9,210.9,475.9,168.1,WRPF
Lifter 127,M,SBD,Single-ply,28.0,78.4,171.1,107.8,193.2,472.1,215.0,IPF
Lifter 128,M,SBD,Raw,41.0,100.5,159.9,98.3,170.1,428.3,161.9,USPA
Lifter 129,M,SBD,Raw,43.0,98.3,149.0,82.0,186.7,417.7,160.6,USAPL
Lifter 130,M,SBD,Raw,49.0,96.8,122.5,78.5,178.2,379.2,147.4,USPA
Lifter 131,F,SBD,Raw,23.0,74.0,105.3,36.5,93.4,235.2,111.9,USPA
Lifter 132,M,SBD,Wraps,46.0,95.6,144.6,88.5,150.6,383.7,150.6,USPA
Lifter 133,M,SBD,Wraps,20.0,88.4,177.0,114.1,176.8,467.9,194.8,USAPL
Lifter 134,M,SBD,Raw,31.0,86.6,135.0,108.1,127.7,370.8,156.7,IPF
Lifter 135,M,SBD,Single-ply,36.0,106.4,220.2,126.1,236.9,583.2,211.2,IPF
Lifter 136,F,SBD,Single-ply,31.0,48.4,72.7,37.0,74.3,184.0,120.3,USAPL
Lifter 137,M,SBD,Raw,37.0,78.9,176.4,121.3,112.5,410.2,185.9,USAPL
Lifter 138,F,SBD,Raw,40.0,63.4,65.0,20.0,77.1,162.1,86.6,USPA
Lifter 139,M,SBD,Raw,19.0,122.5,197.0,126.7,252.4,576.1,187.7,IPF
Lifter 140,M,SBD,Single-ply,43.0,55.8,106.7,117.7,100.8,325.2,191.1,IPF
Lifter 141,M,SBD,Raw,33.0,95.9,123.7,122.3,239.0,485.0,189.9,IPF
Lifter 142,F,SBD,Single-ply,46.0,75.0,72.6,49.6,96.9,219.1,103.2,IPF
Lifter 143,M,SBD,Raw,46.0,107.1,137.8,114.8,172.0,424.6,153.0,USPA
Lifter 144,M,SBD,Wraps,39.0,77.7,179.2,101.5,201.8,482.5,221.2,USPA
Lifter 145,M,SBD,Wraps,,87.9,130.6,96.1,140.5,367.2,153.5,USAPL
Lifter 146,M,SBD,Raw,30.0,74.0,126.0,127.3,158.5,411.8,195.9,USPA
Lifter 147,M,SBD,Single-ply,32.0,83.7,188.7,127.3,186.6,502.6,218.0,USAPL
Lifter 148,M,SBD,Raw,,104.6,223.8,118.2,205.7,547.7,200.9,USAPL
Lifter 149,M,SBD,Wraps,43.0,100.1,185.3,120.8,155.4,461.5,175.0,USPA
Lifter 150,F,SBD,Multi-ply,,99.7,144.6,79.2,119.4,343.2,130.5,WRPF
Lifter 151,F,SBD,Multi-ply,36.0,74.1,84.6,59.1,79.7,223.4,106.1,IPF
Lifter 152,M,SBD,Raw,35.0,140.6,207.9,125.4,227.9,561.2,164.9,USAPL
Lifter 153,M,SBD,Wraps,34.0,76.1,87.4,110.2,151.0,348.6,162.4,USPA
Lifter 154,M,SBD,Raw,28.0,102.5,211.4,121.8,183.8,517.0,192.6,USAPL
Lifter 155,F,SBD,Raw,27.0,53.8,71.2,40.5,84.9,196.6,118.8,WRPF
Lifter 156,M,SBD,Raw,60.0,113.7,128.5,93.1,154.1,375.7,129.5,IPF
Lifter 157,M,SBD,Raw,42.0,81.0,173.4,91.5,156.2,421.1,187.2,WRPF
Lifter 158,F,SBD,Raw,36.0,69.6,69.3,62.7,87.7,219.7,109.4,IPF
Lifter 159,F,SBD,Raw,34.0,47.5,61.5,37.8,82.0,181.3,120.2,IPF
Lifter 160,M,SBD,Raw,41.0,87.4,129.2,97.8,107.8,334.8,140.6,USAPL
Lifter 161,F,SBD,Raw,,77.8,81.0,47.1,85.0,213.1,97.6,USAPL
Lifter 162,M,SBD,Wraps,39.0,95.2,182.8,106.7,145.2,434.7,171.2,USAPL
Lifter 163,M,SBD,Raw,67.0,74.0,66.9,37.7,62.8,167.4,79.6,USPA
Lifter 164,M,SBD,Raw,44.0,92.7,144.3,,182.2,,173.1,USPA
Lifter 165,M,SBD,Raw,33.0,118.8,196.9,125.4,172.3,494.6,164.9,USAPL
Lifter 166,F,SBD,Wraps,26.0,60.7,67.4,50.7,103.2,221.3,122.1,USPA
Lifter 167,F,SBD,Wraps,,65.3,75.1,28.5,58.9,162.5,84.9,USPA
Lifter 168,M,SBD,Raw,29.0,112.4,208.6,129.3,192.1,530.0,184.2,USPA
Lifter 169,F,SBD,Wraps,46.0,74.5,72.2,53.7,100.6,226.5,107.2,WRPF
Lifter 170,M,SBD,Raw,41.0,87.3,110.8,84.1,142.6,337.5,141.8,USAPL
Lifter 171,M,SBD,Multi-ply,25.0,92.2,233.8,119.0,204.0,556.8,224.6,IPF
Lifter 172,M,SBD,Single-ply,41.0,73.4,176.8,72.7,120.9,370.4,177.2,USAPL
Lifter 173,F,SBD,Raw,43.0,75.1,82.7,52.5,82.9,218.1,102.6,IPF
Lifter 174,M,SBD,Single-ply,34.0,126.1,227.8,,243.6,,196.2,USAPL
Lifter 175,M,SBD,Raw,,89.5,128.2,87.2,168.4,383.8,158.3,IPF
Lifter 176,M,SBD,Raw,34.0,92.3,161.5,86.7,161.9,410.1,165.3,USAPL
Lifter 177,F,SBD,Wraps,50.0,50.2,50.3,34.7,55.3,140.3,89.3,USAPL
Lifter 178,F,SBD,Raw,33.0,61.9,62.3,64.8,85.6,212.7,115.7,IPF
Lifter 179,F,SBD,Raw,23.0,44.0,64.1,40.0,89.9,194.0,136.3,USPA
Lifter 180,F,SBD,Wraps,38.0,75.7,112.0,55.0,77.8,244.8,114.5,WRPF
Lifter 181,F,SBD,Raw,23.0,54.0,67.6,35.0,84.8,187.4,112.9,USPA
Lifter 182,M,SBD,Raw,,92.5,121.0,78.4,163.1,362.5,145.8,IPF
Lifter 183,M,SBD,Wraps,28.0,95.2,157.6,102.9,146.2,406.7,160.1,USPA
Lifter 184,F,SBD,Raw,35.0,81.9,97.7,57.1,110.2,265.0,116.8,USPA
Lifter 185,F,SBD,Raw,28.0,63.3,100.0,49.4,84.0,233.4,124.8,USAPL
Lifter 186,M,SBD,Raw,55.0,78.3,65.0,56.2,111.8,233.0,106.2,USAPL
Lifter 187,M,SBD,Raw,41.0,105.4,148.4,111.5,208.4,468.3,170.8,USAPL
Lifter 188,F,SBD,Raw,28.0,61.4,70.0,31.4,61.6,163.0,89.2,USAPL
Lifter 189,M,SBD,Raw,39.0,119.6,154.7,125.6,199.5,479.8,159.2,USAPL
Lifter 190,F,SBD,Raw,27.0,44.0,60.8,30.9,60.3,152.0,106.8,WRPF
Lifter 191,M,SBD,Wraps,35.0,93.1,136.5,96.8,160.3,393.6,157.6,IPF
Lifter 192,M,SBD,Raw,51.0,122.8,155.9,96.2,168.7,420.8,136.9,IPF
Lifter 193,F,SBD,Wraps,41.0,62.2,52.6,,92.8,,113.8,IPF
Lifter 194,M,SBD,Raw,29.0,100.0,178.3,89.5,216.4,484.2,183.7,WRPF
Lifter 195,M,SBD,Raw,,74.3,143.2,111.0,133.0,387.2,183.6,USAPL
Lifter 196,M,SBD,Wraps,43.0,99.3,190.3,,191.7,,188.5,USAPL
Lifter 197,F,SBD,Wraps,59.0,72.1,58.8,39.1,60.7,158.6,76.9,IPF
Lifter 198,M,SBD,Raw,35.0,81.2,127.4,74.5,166.0,367.9,163.2,USPA
Lifter 199,M,SBD,Multi-ply,50.0,132.2,178.0,135.7,188.2,501.9,154.5,USPA
Lifter 200,F,SBD,Raw,41.0,56.9,73.5,45.6,75.9,195.0,112.9,IPF
Lifter 201,F,SBD,Wraps,43.0,77.0,91.8,46.4,92.7,230.9,106.6,USAPL
Lifter 202,M,SBD,Raw,27.0,100.2,148.2,107.0,165.3,420.5,159.3,IPF
Lifter 203,M,SBD,Raw,35.0,93.1,93.9,90.2,156.1,340.2,136.2,WRPF
Lifter 204,M,SBD,Raw,36.0,100.9,175.0,107.4,179.5,461.9,174.1,USAPL
Lifter 205,M,SBD,Raw,21.0,88.7,127.6,114.9,155.4,397.9,165.2,IPF
Lifter 206,M,SBD,Raw,31.0,66.9,111.6,68.1,139.6,319.3,163.8,USAPL
Lifter 207,F,SBD,Wraps,32.0,53.1,85.2,47.5,79.9,212.6,129.7,USAPL
Lifter 208,M,SBD,Raw,29.0,128.0,194.5,107.0,155.1,456.6,144.0,IPF
Lifter 209,M,SBD,Raw,,83.8,159.7,86.3,173.7,419.7,181.8,IPF
Lifter 210,F,SBD,Wraps,45.0,77.3,110.4,48.9,82.3,241.6,111.2,IPF
Lifter 211,M,SBD,Raw,46.0,114.6,176.5,82.7,169.1,428.3,146.7,USAPL
Lifter 212,M,SBD,Raw,53.0,82.6,131.7,91.2,148.6,371.5,162.7,IPF
Lifter 213,F,SBD,Single-ply,48.0,89.8,114.8,57.6,123.1,295.5,121.6,USAPL
Lifter 214,F,SBD,Raw,40.0,58.8,76.5,48.7,67.2,192.4,108.7,WRPF
Lifter 215,F,SBD,Raw,54.0,84.5,84.0,40.2,64.5,188.7,81.2,USPA
Lifter 216,M,SBD,Raw,32.0,80.4,129.2,113.8,134.9,377.9,168.9,IPF
Lifter 217,M,SBD,Raw,36.0,91.2,130.8,96.7,173.5,401.0,163.1,USAPL
Lifter 218,F,SBD,Raw,60.0,80.6,59.5,,60.4,,68.1,USAPL
Lifter 219,M,SBD,Raw,32.0,69.1,105.3,84.9,136.2,326.4,163.4,USAPL
Lifter 220,M,SBD,Raw,20.0,95.9,175.8,102.1,141.6,419.5,164.3,IPF
Lifter 221,M,SBD,Raw,26.0,47.9,114.7,71.9,107.7,294.3,194.0,WRPF
Lifter 222,F,SBD,Raw,35.0,77.5,58.4,58.1,92.0,208.5,95.8,USAPL
Lifter 223,F,SBD,Raw,29.0,78.9,75.1,69.9,103.9,248.9,112.8,WRPF
Lifter 224,M,SBD,Raw,25.0,76.7,132.9,67.4,137.8,338.1,156.5,USPA
Lifter 225,F,SBD,Wraps,46.0,75.5,87.3,50.7,109.1,247.1,115.8,USPA
Lifter 226,M,SBD,Single-ply,42.0,83.2,173.9,111.7,177.8,463.4,201.9,IPF
Lifter 227,M,SBD,Raw,22.0,84.0,98.0,90.9,129.6,318.5,137.7,USPA
Lifter 228,M,SBD,Raw,49.0,86.9,140.9,,137.5,,152.3,USAPL
Lifter 229,M,SBD,Raw,65.0,89.2,91.8,71.2,60.7,223.7,92.5,WRPF
Lifter 230,M,SBD,Raw,31.0,81.6,127.8,66.8,179.0,373.6,165.1,IPF
Lifter 231,M,SBD,Multi-ply,42.0,97.1,155.6,,195.6,,194.7,USAPL
Lifter 232,F,SBD,Raw,28.0,66.5,71.8,42.0,100.4,214.2,110.4,USAPL
Lifter 233,M,SBD,Raw,38.0,101.3,125.5,88.2,185.2,398.9,149.9,IPF
Lifter 234,F,SBD,Raw,42.0,91.3,97.1,64.1,94.3,255.5,103.8,USAPL
Lifter 235,F,SBD,Raw,35.0,80.3,83.1,,96.2,,99.4,IPF
Lifter 236,M,SBD,Single-ply,29.0,115.0,215.9,109.9,221.3,547.1,186.9,IPF
Lifter 237,F,SBD,Raw,32.0,63.2,102.7,52.3,82.5,237.5,127.1,USAPL
Lifter 238,M,SBD,Raw,23.0,100.3,159.0,118.2,191.9,469.1,177.6,USAPL
Lifter 239,M,SBD,Multi-ply,37.0,100.6,232.1,97.7,179.7,509.5,192.5,USAPL
Lifter 240,F,SBD,Multi-ply,57.0,50.4,55.7,49.5,67.7,172.9,109.7,USAPL
Lifter 241,F,SBD,Single-ply,26.0,52.5,63.4,,75.2,,104.3,IPF
Lifter 242,M,SBD,Multi-ply,53.0,78.3,128.3,89.5,132.3,350.1,159.6,IPF
Lifter 243,M,SBD,Single-ply,34.0,89.2,189.8,115.3,184.7,489.8,202.5,IPF
Lifter 244,M,SBD,Raw,22.0,110.2,206.5,135.5,159.3,501.3,176.9,USAPL
Lifter 245,F,SBD,Raw,46.0,59.8,65.9,62.6,62.4,190.9,106.5,IPF
Lifter 246,M,SBD,Raw,37.0,93.9,157.8,123.9,189.2,470.9,187.3,USAPL
Lifter 247,M,SBD,Raw,27.0,109.5,195.8,117.3,228.5,541.6,192.0,IPF
Lifter 248,M,SBD,Raw,30.0,73.2,89.9,83.1,202.5,375.5,180.1,USPA
Lifter 249,M,SBD,Raw,31.0,111.0,213.7,137.9,273.9,625.5,219.5,USPA
Lifter 250,M,SBD,Raw,,73.8,140.4,,117.8,,166.0,USPA
Lifter 251,F,SBD,Raw,38.0,44.0,52.0,41.2,68.8,162.0,113.8,IPF
Lifter 252,M,SBD,Raw,39.0,60.7,118.5,73.0,108.6,300.1,165.6,USPA
Lifter 253,M,SBD,Wraps,45.0,82.8,125.0,79.3,125.2,329.5,144.1,IPF
Lifter 254,M,SBD,Raw,37.0,103.4,147.9,100.0,203.4,451.3,167.0,IPF
Lifter 255,F,SBD,Wraps,40.0,44.0,58.8,36.1,57.1,152.0,106.8,IPF
Lifter 256,F,SBD,Raw,37.0,72.6,85.0,70.9,96.1,252.0,121.6,USAPL
Lifter 257,M,SBD,Raw,74.0,100.8,71.9,57.4,97.8,227.1,85.7,USAPL
Lifter 258,M,SBD,Raw,19.0,101.0,198.1,,143.3,,171.7,USAPL
Lifter 259,M,SBD,Raw,23.0,70.6,92.7,74.2,150.3,317.2,156.3,USAPL
Lifter 260,M,SBD,Raw,26.0,113.9,149.5,138.3,204.6,492.4,169.5,IPF
Lifter 261,F,SBD,Raw,28.0,59.7,56.5,42.7,89.2,188.4,105.3,IPF
Lifter 262,M,SBD,Raw,36.0,63.1,131.1,70.8,140.2,342.1,183.4,IPF
Lifter 263,M,SBD,Raw,37.0,124.4,172.5,104.0,219.3,495.8,159.7,WRPF
Lifter 264,F,SBD,Raw,34.0,56.8,60.0,45.5,72.1,177.6,103.0,IPF
Lifter 265,M,SBD,Single-ply,42.0,70.8,125.8,91.3,145.9,363.0,178.5,USAPL
Lifter 266,M,SBD,Raw,44.0,66.5,97.4,83.8,130.9,312.1,160.8,USAPL
Lifter 267,M,SBD,Wraps,35.0,60.7,119.9,87.3,128.7,335.9,185.4,IPF
Lifter 268,M,SBD,Raw,45.0,82.4,110.2,110.8,158.9,379.9,166.7,WRPF
Lifter 269,M,SBD,Wraps,33.0,77.1,159.4,112.1,139.3,410.8,189.5,USAPL
Lifter 270,M,SBD,Raw,39.0,69.6,121.2,81.6,161.7,364.5,181.5,IPF
Lifter 271,M,SBD,Raw,20.0,85.7,139.9,105.9,190.1,435.9,185.7,USPA
Lifter 272,M,SBD,Raw,35.0,122.5,156.6,162.3,186.3,505.2,164.6,USAPL
Lifter 273,M,SBD,Raw,46.0,78.0,101.2,84.6,147.0,332.8,152.2,IPF
Lifter 274,F,SBD,Raw,20.0,57.0,62.9,45.9,74.6,183.4,106.1,USAPL
Lifter 275,M,SBD,Raw,36.0,103.4,173.8,99.0,177.5,450.3,166.6,WRPF
Lifter 276,M,SBD,Raw,27.0,128.1,188.7,143.1,265.9,597.7,188.4,USAPL
Lifter 277,M,SBD,Raw,,95.7,133.5,103.1,157.9,394.5,154.7,IPF
Lifter 278,F,SBD,Raw,34.0,74.5,79.4,64.8,92.0,236.2,111.8,USAPL
Lifter 279,F,SBD,Raw,40.0,71.0,84.3,41.6,79.6,205.5,100.8,IPF
Lifter 280,M,SBD,Single-ply,30.0,101.7,211.5,134.2,210.5,556.2,208.4,USPA
